1,highland,2ABL100375,001,mf,,
2,daylight,2ABL100269,001,mf,,
3,excel,2ABL100334,001,mf,,
4,lafayette,2ABL100070,000,mf,,
5,highstreet,2ABL100120,001,mf,,
6,seedvestltd,2ABL100017,000,mf,,
7,alpha,2ABL100394,001,mf,,
8,esan,2ABL100191,001,mf,,
9,baines,2ABL100443,001,mf,,
10,afemai,2ABL100370,001,mf,,
11,coronation,2A1L260003,001,cb,,
12,ojokoro,2ABL100391,000,mf,,
13,microvis,2ABL100352,001,mf,,
14,newgoldenpasture,2ABL100208,001,mf,,
15,triplea,2ABL100047,000,mf,,
16,imowo,2ABL100245,001,mf,,
17,consumer,2ABL100408,001,mf,,
18,hedgeworth,2ABL100056,001,mf,,
19,apeks,2ABL100323,001,mf,,
20,banex,2ABL100188,000,mf,,
21,boi,2A1L100001,000,mf,,
22,lawyers,2ABL100102,001,mf,,
23,lekki,2ABL100094,001,mf,,
24,supreme,2ABL100066,000,mf,,
25,sbdc,2ABL100356,001,mf,,
26,vfd,2ABL100351,000,mf,,
27,alekun,2ABL100204,001,mf,,
28,coastline,2ABL100397,000,mf,,
29,chikum,2ABL100450,000,mf,,
30,nutendwell,2ABL100231,001,mf,,
31,key,1A0L200082,,,,
32,firstlowland,2ABL100390,001,mf,,
33,accion,2ABL100125,001,mf,,
34,fbnmfb,2ABL100003,000,mf,,
35,navy,2ABL100237,001,mf,,
37,boctrust,2ABL100415,001,mf,,
38,firstroyal,2ABL100181,001,mf,,
39,jessefield,2ABL100132,000,mf,,
40,unifund,2ABL100109,001,mf,,
41,lovonus,2ABL100039,001,mf,,
42,davodani,2ABL100260,001,mf,,
43,cit,2ABL100077,001,mf,,
44,finatrust,2ABL100030,001,mf,,
45,regent,2ABL100224,001,mf,,
46,conpro,2ABL100038,001,mf,,
47,megapraise,2ABL100176,001,mf,,
48,atlasmfb,2ABL100064,001,mf,,
49,peace,2ABL100065,001,mf,,
50,nnew,2ABL100243,001,mf,,
51,royalexchange,2ABL100326,001,mf,,
52,mainstreet,2A0L200014,000,mf,,
53,mkobo,2ABL100292,000,mf,,
54,seap,2ABL100401,001,mf,,
55,levite,2ABL100152,001,mf,,
56,lapo,2ABL100168,900,mf,,
57,ekreliable,2ABL100427,001,mf,,
58,crossover,2ABL100303,001,mf,,
59,fedpoly,2ABL100173,001,mf,,
60,lifegate,2ABL100187,001,mf,,
61,boimfb,2ABL100116,000,mf,,
62,mutualtrust,2ABL100458,001,mf,,
63,viscount,2ABL100219,001,mf,,
64,isuofia,2ABL100398,001,mf,,
65,dorben,2ABL100134,001,mf,,
66,uda,2ABL100357,001,mf,,
67,cedar,2ABL100117,001,mf,,
68,abbey,2A4L290031,001,mf,,
69,uba,1A0L200033,0999,,,
70,seedcapital,2ABL100157,001,mf,,
71,auchi,2ABL100361,001,mf,,
72,prolific,2ABL100146,001,mf,,
73,fct,2ABL100068,001,mf,,
74,purplemoney,2ABL100287,001,mf,,
75,mayfair,2ABL100053,001,mf,,
76,alhayat,2ABL100251,001,mf,,
77,agosasa,2ABL100346,001,mf,,
78,safehaven,2ABL100216,000,mf,,
79,empiretrust,2ABL100277,001,mf,,
80,allworkers,2ABL100437,001,mf,,
81,ikenne,2ABL100452,001,mf,,
82,vibrant,2ABL100377,001,mf,,
83,icglobal,2ABL100229,001,mf,,
84,fidfund,2ABL100052,001,mf,,
85,ilisan,2ABL100349,001,mf,,
86,amml,2ABL100378,000,mf,,
87,citi,2A0L200023,023,cb,,
88,crutech,2ABL100250,001,mf,,
89,rephidim,2ABL250994,001,mf,,
90,stallion,2ABL100223,001,mf,,
91,ewt,2ABL100386,000,mf,,
92,ffs,2ABL100442,001,mf,,
93,access,1A0L200044,099,,,false
94,wema,2A0L200035,10,,,false
95,union,1A0L200032,001,,,false
96,sterling,2A0L200232,223,,,false
97,suntrust,2A0L200100,001,,,false
98,jaiz,2A0L100025,0001,,,false
99,fsdh,2A1L260001,001,,,false
100,providus,2A0L200101,001,,,false
101,fidelity,2A0L200070,016,,,false
102,zenith,2A0L200057,00,,,false
103,heritage,2A0L200030,001,,,false
104,unity,2A0L200215,999,,,false
105,stanbic,1A0L200216,001,,,
106,eco,2A0L200050,50,,,
107,skye,2A0L200076,136,,,
108,diamond,1A0L200063,016,,,
109,gtbank,1A0L200058,100,cb,,false
110,stanchart,1A0L200068,001,,,
111,firstbank,1A0L200011,100,cb,,
112,alcott,2A2L100472,001,cb,,false
114,nerfund,2A1L100465,,,,
115,nestle,2CFL100466,001,cb,,false
116,finderiv,2A2L100005,001,cb,,false
117,royexfin,2A2L100199,001,cb,,false
118,fcmb,1A0L200214,001,,,
119,nexim,2A1L100002,001,cb,,
120,custodian,2ABL100318,001,mf,,
121,ipapo,2ABL100310,001,mf,,
122,osanta,2ABL100365,001,mf,,
123,mgbidi,2ABL100707,001,mf,,
124,island,2ABL100355,001,mf,,false
125,okearooredegbe,2ABL100302,001,mf,,
126,iwa,2ABL100363,001,mf,,
127,molusi,2ABL100254,001,mf,,
128,nanka,2ABL100603,001,mf,,
129,nbc,2AFL100805,001,cb,,
130,cfs,2A2L100067,001,cb,,
131,crest,2ABL100331,001,mf,,
132,dolphin,2ABL100376,001,mf,,
133,ifesowapo,2ABL100111,001,mf,,
113,rand,2A1L100114,001,cb,,false
134,ikorodu,2ABL100605,001,mf,,
135,ilora,2ABL100634,001,mf,,
136,light,2ABL100382,001,mf,,
137,oritabasorun,2ABL100676,001,mf,,
138,osi,2ABL100328,001,mf,NULL,
139,rima,2ABL100402,001,mf,,
140,unibadan,2ABL100330,001,mf,NULL,
141,grooming,2ABL100638,001,mf,NULL,
142,civic,2ABL100788,001,mf,,
143,fame,2ABL100383,001,mf,,
144,ebedi,2ABL100364,001,mf,,
145,bethesda,2ABL100680,001,mf,,
146,mandm,2ABL100021,001,mf,,
147,ngbo,2ABL100540,001,mf,,
148,ours,2ABL100651,001,mf,,
149,sincere,2ABL100300,001,mf,NULL,
150,yes,2ABL100393,001,mf,,
151,welfare,2ABL100729,001,mf,,
152,annointed,2ABL100213,001,mf,NULL,
153,ucb,2ABL100385,001,mf,,
154,dignityfinance,2A2L100082,001,cb,,
155,aiyepe,2ABL100387,001,mf,NULL,
156,chanelle,2ABL100301,001,mf,,
157,benue,2ABL100623,001,mf,,
158,uromi,2ABL100374,001,mf,,
159,prudentialcoop,2ABL100444,001,mf,,
160,isaleoyo,2ABL100485,001,mf,,
161,borgu,2ABL100558,001,mf,,
162,unn,2ABL100645,001,mf,,
163,mapoly,2ABL100731,001,mf,,
164,bundi,2ABL100671,001,mf,,
165,balogungambari,2ABL100754,001,mf,,
36,futuregrowth,2ABL100075,001,mf,,
167,alvana,2ABL100855,001,mf,,
168,creditdirect,2ABL100033,001,mf,,
169,kankara,2ABL100763,001,mf,,
170,infinitysavings,2A4L290002,001,mg,,
171,cherish,2ABL100810,001,mf,,
172,haggai,2A4L290065,001,mg,,
173,brent,2A4L290070,001,mg,,
174,abmfb,2ABL100013,001,mf,,
175,monarch,2ABL100779,001,mf,,
176,ihiala,2ABL100600,001,mf,,
177,bancorp,2A2L100081,001,cb,,false
178,fundquest,2A2L100159,001,cb,,false
179,deltatrust,2A4L100153,001,mg,,false
180,fbnmortgage,2A4L290042,001,mg,,false
181,abigi,2ABL100348,001,mf,,false
182,ace,2ABL100258,001,mf,,false
183,ajikobi,2ABL100726,001,mf,,false
184,amegy,2ABL100575,001,mf,,false
185,bayero,2ABL100637,001,mf,,false
186,avuenegbe,2ABL100358,001,mf,,false
187,awka,2ABL100658,001,mf,,false
188,zion,2ABL100679,001,mf,,false
189,xslnce,2ABL100379,001,mf,,false
190,boromu,2ABL100333,001,mf,,false
191,bluewhales,2ABL100448,001,mf,,false
192,beststar,2ABL100695,001,mf,,false
193,adazienu,2ABL100384,001,mf,,false
194,solidrock,2ABL100719,001,mf,,false
195,npf,2ABL100133,001,mf,,false
196,jubilee,2A4L290045,001,mf,,false
197,taraba,2ABL100594,001,mg,,false
198,omoluabi,2A4L290088,001,mg,,false
