highland,2ABL100375,001,mf,,
daylight,2ABL100269,001,mf,,
excel,2ABL100334,001,mf,,
lafayette,2ABL100070,000,mf,,
highstreet,2ABL100120,001,mf,,
seedvestltd,2ABL100017,000,mf,,
alpha,2ABL100394,001,mf,,
esan,2ABL100191,001,mf,,
baines,2ABL100443,001,mf,,
afemai,2ABL100370,001,mf,,
coronation,2A1L260003,001,cb,,
ojokoro,2ABL100391,000,mf,,
microvis,2ABL100352,001,mf,,
newgoldenpasture,2ABL100208,001,mf,,
triplea,2ABL100047,000,mf,,
imowo,2ABL100245,001,mf,,
consumer,2ABL100408,001,mf,,
hedgeworth,2ABL100056,001,mf,,
apeks,2ABL100323,001,mf,,
banex,2ABL100188,000,mf,,
boi,2A1L100001,000,mf,,
lawyers,2ABL100102,001,mf,,
lekki,2ABL100094,001,mf,,
supreme,2ABL100066,000,mf,,
sbdc,2ABL100356,001,mf,,
vfd,2ABL100351,000,mf,,
alekun,2ABL100204,001,mf,,
coastline,2ABL100397,000,mf,,
chikum,2ABL100450,000,mf,,
nutendwell,2ABL100231,001,mf,,
key,1A0L200082,,,,
firstlowland,2ABL100390,001,mf,,
accion,2ABL100125,001,mf,,
fbnmfb,2ABL100003,000,mf,,
navy,2ABL100237,001,mf,,
futuregrowth,2ABL100075,000,mf,,
boctrust,2ABL100415,001,mf,,
firstroyal,2ABL100181,001,mf,,
jessefield,2ABL100132,000,mf,,
unifund,2ABL100109,001,mf,,
lovonus,2ABL100039,001,mf,,
davodani,2ABL100260,001,mf,,
cit,2ABL100077,001,mf,,
finatrust,2ABL100030,001,mf,,
regent,2ABL100224,001,mf,,
conpro,2ABL100038,001,mf,,
megapraise,2ABL100176,001,mf,,
atlasmfb,2ABL100064,001,mf,,
peace,2ABL100065,001,mf,,
nnew,2ABL100243,001,mf,,
royalexchange,2ABL100326,001,mf,,
mainstreet,2A0L200014,000,mf,,
mkobo,2ABL100292,000,mf,,
seap,2ABL100401,001,mf,,
levite,2ABL100152,001,mf,,
lapo,2ABL100168,900,mf,,
ekreliable,2ABL100427,001,mf,,
crossover,2ABL100303,001,mf,,
fedpoly,2ABL100173,001,mf,,
lifegate,2ABL100187,001,mf,,
boimfb,2ABL100116,000,mf,,
mutualtrust,2ABL100458,001,mf,,
viscount,2ABL100219,001,mf,,
isuofia,2ABL100398,001,mf,,
dorben,2ABL100134,001,mf,,
uda,2ABL100357,001,mf,,
cedar,2ABL100117,001,mf,,
abbey,2A4L290031,001,mf,,
uba,1A0L200033,0999,,,
seedcapital,2ABL100157,001,mf,,
auchi,2ABL100361,001,mf,,
prolific,2ABL100146,001,mf,,
fct,2ABL100068,001,mf,,
purplemoney,2ABL100287,001,mf,,
mayfair,2ABL100053,001,mf,,
alhayat,2ABL100251,001,mf,,
agosasa,2ABL100346,001,mf,,
safehaven,2ABL100216,000,mf,,
empiretrust,2ABL100277,001,mf,,
allworkers,2ABL100437,001,mf,,
ikenne,2ABL100452,001,mf,,
vibrant,2ABL100377,001,mf,,
icglobal,2ABL100229,001,mf,,
fidfund,2ABL100052,001,mf,,
ilisan,2ABL100349,001,mf,,
amml,2ABL100378,000,mf,,
citi,2A0L200023,023,cb,,
crutech,2ABL100250,001,mf,,
rephidim,2ABL250994,001,mf,,
stallion,2ABL100223,001,mf,,
ewt,2ABL100386,000,mf,,
ffs,2ABL100442,001,mf,,
access,1A0L200044,099,,,false
wema,2A0L200035,10,,,false
union,1A0L200032,001,,,false
sterling,2A0L200232,223,,,false
suntrust,2A0L200100,001,,,false
jaiz,2A0L100025,0001,,,false
fsdh,2A1L260001,001,,,false
providus,2A0L200101,001,,,false
fidelity,2A0L200070,016,,,false
zenith,2A0L200057,00,,,false
heritage,2A0L200030,001,,,false
unity,2A0L200215,999,,,false
stanbic,1A0L200216,001,,,
eco,2A0L200050,50,,,
skye,2A0L200076,136,,,
diamond,1A0L200063,016,,,
gtbank,1A0L200058,100,cb,,false
stanchart,1A0L200068,001,,,
firstbank,1A0L200011,100,cb,,
alcott,2A2L100472,001,cb,,false
rand,2A1L100114,001,,,false
nerfund,2A1L100465,,,,
nestle,2CFL100466,001,cb,,false
finderiv,2A2L100005,001,cb,,false
royexfin,2A2L100199,001,cb,,false
fcmb,1A0L200214,001,,,
nexim,2A1L100002,001,cb,,
custodian,2ABL100318,001,mf,,
ipapo,2ABL100310,001,mf,,
osanta,2ABL100365,001,mf,,
mgbidi,2ABL100707,001,mf,,
island,2ABL100355,001,mf,,false
okearooredegbe,2ABL100302,001,mf,,
iwa,2ABL100363,001,mf,,
molusi,2ABL100254,001,mf,,
nanka,2ABL100603,001,mf,,
nbc,2AFL100805,001,cb,,
cfs,2A2L100067,001,cb,,
crest,2ABL100331,001,mf,,
dolphin,2ABL100376,001,mf,,
ifesowapo,2ABL100111,001,mf,,
ikorodu,2ABL100605,001,mf,,
ilora,2ABL100634,001,mf,,
light,2ABL100382,001,mf,,
oritabasorun,2ABL100676,001,mf,,
osi,2ABL100328,001,mf,NULL,
rima,2ABL100402,001,mf,,
unibadan,2ABL100330,001,mf,NULL,
grooming,2ABL100638,001,mf,NULL,
civic,2ABL100788,001,mf,,
fame,2ABL100383,001,mf,,
ebedi,2ABL100364,001,mf,,
bethesda,2ABL100680,001,mf,,
mandm,2ABL100021,001,mf,,
ngbo,2ABL100540,001,mf,,
ours,2ABL100651,001,mf,,
yes,2ABL100393,001,mf,,
welfare,2ABL100729,001,mf,,
annointed,2ABL100213,001,mf,NULL,
ucb,2ABL100385,001,mf,,
dignityfinance,2A2L100082,001,cb,,
aiyepe,2ABL100387,001,mf,NULL,
chanelle,2ABL100301,001,mf,,
benue,2ABL100623,001,mf,,
uromi,2ABL100374,001,mf,,
prudentialcoop,2ABL100444,001,mf,,
isaleoyo,2ABL100485,001,mf,,
borgu,2ABL100558,001,mf,,
unn,2ABL100645,001,mf,,
mapoly,2ABL100731,001,mf,,
bundi,2ABL100671,001,mf,,
balogungambari,2ABL100754,001,mf,,
barnawa,2ABL100261,001,mf,,
bosak,2ABL100069,001,mf,,
touchgold,2ABL100126,001,mf,NULL,
eloemede,2ABL100209,001,mf,,
omuaran,2ABL100337,001,mf,,
avuenegbe,2ABL100358,001,mf,,
okuta,2ABL100372,001,mf,,
foresight,2ABL100411,001,mf,,
unubi,2ABL100454,001,mf,,
iba,2ABL100474,001,mf,,
pathfinder,2ABL100811,001,mf,,
nice,2ABL100682,001,mf,,
alvana,2ABL100855,001,mf,,
caretaker,2ABL100456,001,mf,,
abmfb,2ABL100013,001,mf,,
solidrock,2ABL100719,001,mf,,
creditdirect,2ABL100033,001,mf,,
balera,2ABL100178,001,mf,,
bojiboji,2ABL100194,001,mf,,
iyede,2ABL100174,001,mf,,
sinceremfb,2ABL100300,001,mf,NULL,
sabonyelwa,2ABL100322,001,mf,,
astrapolis,2ABL100329,001,mf,,
firstheritage,2ABL100728,001,mf,,
ibeto,2ABL100475,001,mf,,
prosperity,2ABL100617,001,mf,,
numo,2ABL100859,001,mf,,
gbede,2ABL100207,001,mf,,
crevance,2A2L100848,001,cb,,
ukpor,2ABL100389,001,mf,,
ogboefere,2ABL100701,001,mf,,
nutokebola,2ABL100438,001,mf,,
shanono,2ABL100655,001,mf,,
ranmilowo,2ABL100321,001,mf,NULL,
oscotech,2ABL100759,001,mf,,
omak,2ABL100752,001,mf,,
kcfinance,2A2L100345,001,cb,,
ojatesan,2ABL100432,001,mf,,
mbawulu,2ABL100400,001,mf,,
challenge,2ABL100516,001,mf,,
ibolo,2ABL100735,001,mf,,
matrixenergy,2AFL100798,001,cb,,
primera,2ABL100156,001,mf,,
npf,2ABL100133,001,mf,,
directbridge,2ABL100268,001,mf,,
redoak,2A2L100838,001,cb,,
opticom,2A2L100057,001,cb,NULL,
kudi,2A2L100479,001,cb,,
fbnmerchant,2A1L260004,001,cb,,
monarch,2ABL100779,001,mf,,
ihiala,2ABL100600,001,mf,,
bayero,2ABL100590,001,mf,NULL,
bancorp,2A2L100081,001,cb,,false
frebson,2A2L100336,001,cb,,false
fundquest,2A2L100159,001,cb,,false
abigi,2ABL100348,001,mf,,false
